#Digilent WaveForms Logic Analyzer Bus
#Device Name: Discovery2
#Serial Number: SN:210321B27B48
#Date Time: 2025-07-20 16:38:26.1000

Time (s),Data
-20.974265,0
-20.974125,0
-20.973985,0
-20.973845,0
-20.973705,0
-20.97356,0
-20.97342,0
-20.97328,0
-20.97314,0
-20.973,0
-20.97286,0
-20.97272,0
-20.97258,0
-20.972435,0
-20.972295,0
-20.972155,0
-20.972015,0
-20.971875,0
-20.971735,0
-20.97159,0
-20.97145,0
-20.97131,0
-20.97117,0
-20.97103,0
-20.97089,0
-20.97075,0
-20.97061,0
-20.970465,0
-20.970325,0
-20.970185,0
-20.970045,0
-20.969905,0
-20.969765,0
-20.969625,0
-20.969485,0
-20.96934,0
-20.9692,0
-20.96906,0
-20.96892,0
-20.96878,0
-20.96864,0
-20.9685,0
-20.968355,0
-20.968215,0
-20.96807,0
-20.96793,0
-20.96779,0
-20.96765,0
-20.967235,0
-20.967095,0
-20.96695,0
-20.94834,0
-20.9482,0
-20.94804,0
-20.9479,0
-20.94776,0
-20.94762,0
-20.94748,0
-20.947335,0
-20.947195,0
-20.947055,0
-20.946915,0
-20.946775,0
-20.946635,0
-20.946495,0
-20.946355,0
-20.94621,0
-20.94607,0
-20.94593,0
-20.94579,0
-20.94565,0
-20.94551,0
-20.94537,0
-20.94523,0
-20.945085,0
-20.944945,0
-20.944805,0
-20.944665,0
-20.944525,0
-20.944385,0
-20.944245,0
-20.944105,0
-20.94396,0
-20.94382,0
-20.94368,0
-20.94354,0
-20.9434,0
-20.943255,0
-20.943115,0
-20.942975,0
-20.94283,0
-20.94269,0
-20.94255,0
-20.94241,0
-20.94227,0
-20.94213,0
-20.94198,0
-20.941835,0
-20.941685,0
-20.937,81
-20.93686,81
-20.93672,81
-20.93658,81
-20.93644,81
-20.9363,81
-20.93616,81
-20.93602,81
-20.93588,81
-20.93574,81
-20.9356,81
-20.93546,81
-20.935315,81
-20.935175,81
-20.935035,81
-20.934895,81
-20.934755,81
-20.934615,81
-20.934475,81
-20.934315,81
-20.9339,81
-20.93376,81
-20.93362,81
-20.93348,81
-20.93334,81
-20.9332,81
-20.93306,81
-20.932915,81
-20.932775,81
-20.932635,81
-20.932495,81
-20.932355,81
-20.932215,81
-20.932075,81
-20.931935,81
-20.93179,81
-20.93165,81
-20.93151,81
-20.93137,81
-20.931225,81
-20.931085,81
-20.930945,81
-20.930805,81
-20.930665,81
-20.93052,81
-20.93038,81
-20.93024,81
-20.930075,81
-20.92993,81
-20.92978,81
-20.929635,81
-20.929485,81
-20.92934,81
-20.9292,81
-20.929055,81
-20.928915,81
-20.928755,81
-20.928615,81
-20.928475,81
-20.928335,81
-20.928195,81
-20.928055,81
-20.92791,81
-20.92777,81
-20.92763,81
-20.92749,81
-20.92735,81
-20.92721,81
-20.92707,81
-20.92693,81
-20.926785,81
-20.926645,81
-20.926505,81
-20.926365,81
-20.926225,81
-20.926085,81
-20.925945,81
-20.9258,81
-20.92566,81
-20.92552,81
-20.92538,81
-20.92524,81
-20.92508,81
-20.92494,81
-20.9248,81
-20.92466,81
-20.92452,81
-20.92438,81
-20.92424,81
-20.9241,81
-20.92396,81
-20.92382,81
-20.92368,81
-20.92354,81
-20.9234,81
-20.92326,81
-20.92312,81
